ID,Descripción,Datos de entrada,Resultado esperado,Aserción (Assertion),Estado (Pass/Fail)
CP-01,Login de usuario (API /api/auth/login),"usuario=email válido, password válida",Token generado y sesión iniciada,"response.status==200 && response.body.token existe",""
CP-02,Login inválido (API /api/auth/login),"usuario=email válido, password incorrecta",Error de credenciales,"response.status==401 && response.body.error",""
CP-03,Consulta tracking público (API /api/tracking/:code),"code=TM-2026-0001 válido",Estado actual e historial,"response.status==200 && response.body.codigoSeguimiento==code",""
CP-04,Tracking inválido (API /api/tracking/:code),"code inexistente",Código no encontrado,"response.status==404",""
CP-05,Listar paquetes (API /api/packages/expanded) admin,"token admin",Listado de paquetes,"response.status==200 && Array.isArray(body)",""
CP-06,Listar paquetes repartidor (API /api/packages/expanded),"token repartidor",Solo paquetes asignados,"response.status==200 && todos.body.repartidor.id==user.id",""
CP-07,Crear paquete (API /api/packages) operador,"remitenteId, destinatarioId, sucursalOrigenId, destinoTexto",Paquete creado con código,"response.status==201 && response.body.codigoSeguimiento",""
CP-08,Crear paquete sin datos requeridos (API /api/packages),"faltan remitenteId/destinatarioId",Error validación,"response.status==400",""
CP-09,Actualizar estado a En Tránsito (API /api/packages/:id/status) operador,"estado=En Tránsito",Estado actualizado,"response.status==200 && body.estadoActual==En Tránsito",""
CP-10,Confirmar entrega (API /api/packages/:id/status) repartidor asignado,"estado=Entregado",Entrega registrada,"response.status==200 && body.estadoActual==Entregado",""
CP-11,Intento fallido (API /api/packages/:id/status) repartidor,"estado=Intento fallido",Estado registrado,"response.status==200 && body.estadoActual==Intento fallido",""
CP-12,Actualizar estado no permitido (repartidor a En Tránsito),"estado=En Tránsito",Acción no permitida,"response.status==403",""
CP-13,Listar usuarios (API /api/users) admin,"token admin",Listado de usuarios,"response.status==200 && Array.isArray(body)",""
CP-14,Crear usuario (API /api/users) admin,"nombre,email,password,rolId",Usuario creado,"response.status==201 && body.email",""
CP-15,Editar usuario (API /api/users/:id) admin,"id válido, cambios",Usuario actualizado,"response.status==200",""
CP-16,Eliminar usuario (API /api/users/:id) admin,"id válido",Usuario eliminado,"response.status==200 && body.ok==true",""
CP-17,Listar roles (API /api/roles)","token válido",Lista de roles,"response.status==200 && Array.isArray(body)",""
CP-18,Listar sucursales (API /api/branches)","token válido",Lista de sucursales,"response.status==200 && Array.isArray(body)",""
CP-19,Crear sucursal (API /api/branches) admin,"nombre,direccion",Sucursal creada,"response.status==201",""
CP-20,Listar distribuidoras (API /api/distributors)","token válido",Lista de distribuidoras,"response.status==200 && Array.isArray(body)",""
CP-21,Crear distribuidora (API /api/distributors) admin,"nombre,razonSocial",Distribuidora creada,"response.status==201",""
CP-22,Reporte CSV (API /api/reports/packages?format=csv) admin,"format=csv",Archivo descargable,"response.status==200 && content-type incluye text/csv",""
CP-23,Reporte XLSX (API /api/reports/packages?format=xlsx) admin,"format=xlsx",Archivo descargable,"response.status==200 && content-type incluye spreadsheet",""
CP-24,Listar operadores (API /api/operators)","token válido",Lista de operadores activos,"response.status==200 && Array.isArray(body)",""
CP-25,Listar repartidores (API /api/couriers)","token válido",Lista de repartidores activos,"response.status==200 && Array.isArray(body)",""
CP-26,Mis entregas (API /api/couriers/me/packages) repartidor,"token repartidor",Lista de paquetes asignados,"response.status==200 && todos.body.repartidor.id==user.id",""
